uid,ID,Results_of_analysis,Bird_species_FR,CD_nom,Bird_species_LAT,Bird_family_latin,Code_INSEE_municipality,Obs_date,Zone_of_enhanced_surveillance_ZRP,Name_ZRP,Nb_birds_lab_pools,X_Municipality_centroid_Lambert93,Y_Municipality_centroid_Lambert93
3002,56_20221118_C,negative,Mouette_rieuse,530157,Chroicocephalus_ridibundus,Laridae,56240,03/08/2022,Yes,GOLFE_DU_MORBIHAN_ET_BAIE_PLOUHARNEL,1,267748,6729350
106,60_20161130_A,negative,Bernache_du_Canada,2749,Anas_canadensis,Anatidae,60213,30/11/2016,No,NA,2,677781,6892011
107,67_20170225_A,HP,Bernache_du_Canada,2749,Anas_canadensis,Anatidae,67261,25/02/2017,Yes,COURS_DU_RHIN,1,1079409,6886190
3003,56_20221122_B,negative,Mouette_rieuse,530157,Chroicocephalus_ridibundus,Laridae,56240,29/07/2022,Yes,GOLFE_DU_MORBIHAN_ET_BAIE_PLOUHARNEL,1,267748,6729350
3004,29_20221123_K,negative,Mouette_rieuse,530157,Chroicocephalus_ridibundus,Laridae,29135,02/08/2022,Yes,DPM_Pte_DE_PENMARC_H_AU_MORBIHAN,1,163290,6772024
2931,59_20161210_A,negative,Mouette_rieuse,530157,Chroicocephalus_ridibundus,Laridae,59279,10/12/2016,No,NA,1,708850,7075725
2932,59_20161215_A,negative,Mouette_rieuse,530157,Chroicocephalus_ridibundus,Laridae,59650,15/12/2016,No,NA,1,715913,7067447
2998,35_20221108_A,negative,Mouette_rieuse,530157,Chroicocephalus_ridibundus,Laridae,35133,21/07/2022,No,NA,1,325875,6792641
2999,22_20221108_C,negative,Mouette_rieuse,530157,Chroicocephalus_ridibundus,Laridae,22007,21/07/2022,No,NA,1,270402,6849624
3005,79_20221124_B,negative,Mouette_rieuse,530157,Chroicocephalus_ridibundus,Laridae,79280,18/08/2022,No,NA,1,432943,6667293
3006,01_20221125_A,negative,Mouette_rieuse,530157,Chroicocephalus_ridibundus,Laridae,1235,02/09/2022,Yes,LA_DOMBES,2,860668,6552955
2933,62_20161202_A,negative,Mouette_rieuse,530157,Chroicocephalus_ridibundus,Laridae,62765,02/12/2016,Yes,LES_MARAIS_DU_PAS_DE_CALAIS,1,648030,7075178
2966,22_20220127_A,negative,Mouette_rieuse,530157,Chroicocephalus_ridibundus,Laridae,22134,19/12/2021,No,NA,1,229152,6872600
2967,80_20220412_A,negative,Mouette_rieuse,530157,Chroicocephalus_ridibundus,Laridae,80021,26/01/2022,No,NA,1,647763,6978750
2970,35_20220503_A,negative,Mouette_rieuse,530157,Chroicocephalus_ridibundus,Laridae,35078,23/02/2022,Yes,BAIE_DU_MONT_ST_MICHEL_ET_ZH_DE_PLEINE_FOUGERES,1,352859,6842855
2971,02_20220503_C,negative,Mouette_rieuse,530157,Chroicocephalus_ridibundus,Laridae,2131,22/02/2022,No,NA,1,728515,6921545
2972,56_20220504_A,negative,Mouette_rieuse,530157,Chroicocephalus_ridibundus,Laridae,56216,07/03/2022,Yes,VALLEE_DE_VILAINE,2,307280,6740177
2973,51_20220504_B,HP,Mouette_rieuse,530157,Chroicocephalus_ridibundus,Laridae,51269,10/03/2022,Yes,CHAMPAGNE_HUMIDE_DONT_LAC_DU_DER,1,829355,6829336
2974,59_20220518_A,negative,Mouette_rieuse,530157,Chroicocephalus_ridibundus,Laridae,59273,04/04/2022,Yes,LITTORAL_DU_PAS_DE_CALAIS,2,640352,7099704
2975,85_20220609_D,HP,Mouette_rieuse,530157,Chroicocephalus_ridibundus,Laridae,85011,22/03/2022,Yes,BAIE_DE_BOURGNEUF_ET_NOIRMOUTIER,4,307340,6660788
2976,44_20220610_A,HP,Mouette_rieuse,530157,Chroicocephalus_ridibundus,Laridae,44184,29/03/2022,Yes,ESTUAIRE_DE_LA_LOIRE,1,303973,6699128
2977,51_20220614_A,negative,Mouette_rieuse,530157,Chroicocephalus_ridibundus,Laridae,51269,19/04/2022,Yes,CHAMPAGNE_HUMIDE_DONT_LAC_DU_DER,1,829355,6829336
2978,59_20220811_B,HP,Mouette_rieuse,530157,Chroicocephalus_ridibundus,Laridae,59532,31/05/2022,Yes,LITTORAL_DU_PAS_DE_CALAIS,5,640512,7097270
2979,51_20220817_B,negative,Mouette_rieuse,530157,Chroicocephalus_ridibundus,Laridae,51184,04/05/2022,No,NA,2,810654,6843455
2980,59_20220829_B,HP,Mouette_rieuse,530157,Chroicocephalus_ridibundus,Laridae,59273,10/06/2022,Yes,LITTORAL_DU_PAS_DE_CALAIS,2,640352,7099704
2981,59_20220829_D,HP,Mouette_rieuse,530157,Chroicocephalus_ridibundus,Laridae,59272,13/06/2022,Yes,LITTORAL_DU_PAS_DE_CALAIS,2,636994,7100747
2982,59_20220829_E,HP,Mouette_rieuse,530157,Chroicocephalus_ridibundus,Laridae,59183,13/06/2022,No,NA,1,655200,7104532
2983,60_20220914_A,HP,Mouette_rieuse,530157,Chroicocephalus_ridibundus,Laridae,60594,15/06/2022,No,NA,1,609224,6936666
2984,59_20220914_mouette,HP,Mouette_rieuse,530157,Chroicocephalus_ridibundus,Laridae,59273,16/06/2022,Yes,LITTORAL_DU_PAS_DE_CALAIS,2,640352,7099704
2985,02_20221013_B,negative,Mouette_rieuse,530157,Chroicocephalus_ridibundus,Laridae,2691,16/06/2022,No,NA,1,720072,6972482
2986,59_20221014_A,HP,Mouette_rieuse,530157,Chroicocephalus_ridibundus,Laridae,59273,27/06/2022,Yes,LITTORAL_DU_PAS_DE_CALAIS,2,640352,7099704
2987,02_20221026_C,negative,Mouette_rieuse,530157,Chroicocephalus_ridibundus,Laridae,2691,11/07/2022,No,NA,1,720072,6972482
2988,80_20221027_A,HP,Mouette_rieuse,530157,Chroicocephalus_ridibundus,Laridae,80464,11/07/2022,Yes,LITTORAL_PICARD,1,596418,7007127
2989,80_20221027_F,HP,Mouette_rieuse,530157,Chroicocephalus_ridibundus,Laridae,80182,06/07/2022,Yes,LITTORAL_PICARD,1,593938,7010320
2990,80_20221027_G,HP,Mouette_rieuse,530157,Chroicocephalus_ridibundus,Laridae,80181,06/07/2022,No,NA,1,671671,6968438
2991,80_20221027_K,HP,Mouette_rieuse,530157,Chroicocephalus_ridibundus,Laridae,80713,07/07/2022,Yes,L_AUTHIE_BASSE_VALLEE_ET_MARAIS_ARRIERES,1,598072,7021551
2992,40_20221028_A,negative,Mouette_rieuse,530157,Chroicocephalus_ridibundus,Laridae,40213,30/08/2022,Yes,ETANGS_ET_MARAIS_DU_LITTORAL_SUD_LANDAIS,2,347107,6288452
2993,22_20221028_B,negative,Mouette_rieuse,530157,Chroicocephalus_ridibundus,Laridae,22197,27/07/2022,Yes,BAIE_DU_MONT_ST_MICHEL_ET_ZH_DE_PLEINE_FOUGERES,1,334586,6833564
2994,29_20221107_B,negative,Mouette_rieuse,530157,Chroicocephalus_ridibundus,Laridae,29003,29/07/2022,No,NA,1,138355,6796281
2995,22_20221107_F,negative,Mouette_rieuse,530157,Chroicocephalus_ridibundus,Laridae,22106,28/07/2022,Yes,BAIE_D_YFFINIAC_DPM_et_barrage,1,278558,6836845
2996,45_20221107_A,negative,Mouette_rieuse,530157,Chroicocephalus_ridibundus,Laridae,45266,13/07/2022,No,NA,1,620189,6779567
2997,80_20221108_G,HP,Mouette_rieuse,530157,Chroicocephalus_ridibundus,Laridae,80199,21/07/2022,No,NA,1,691735,6985258
108,78_20170223_A,negative,Bernache_du_Canada,2749,Anas_canadensis,Anatidae,78401,23/02/2017,No,NA,1,621048,6879050
1132,73_20190529,negative,Cygne_tubercule,2708,Anas_olor,Anatidae,73008,18/04/2019,Yes,LAC_DU_BOURGET,1,925933,6515089
1133,74_20170213_A,negative,Cygne_tubercule,2708,Anas_olor,Anatidae,74276,13/02/2017,No,NA,1,979065,6564171
1134,74_20170428_A,negative,Cygne_tubercule,2708,Anas_olor,Anatidae,74315,20/04/2017,Yes,LAC_LEMAN_RIVE_FRANCAISE,1,956049,6590216
1245,95_20201116_A,negative,Cygne_tubercule,2708,Anas_olor,Anatidae,95150,05/11/2020,No,NA,2,604987,6891733
1246,78_20201116_A,negative,Cygne_tubercule,2708,Anas_olor,Anatidae,78650,31/07/2020,No,NA,1,636235,6866451
